county_desc,county_fips,election_date,election_desc,voters_voted,registered_active,turnout_rate
STANLY,084,2024-11-05,11/05/2024 GENERAL,37142,41712,0.8904392021480629
STOKES,085,2024-11-05,11/05/2024 GENERAL,27411,30418,0.9011440594384904
SURRY,086,2024-11-05,11/05/2024 GENERAL,37748,42718,0.8836556018540194
SWAIN,087,2024-11-05,11/05/2024 GENERAL,7084,8380,0.845346062052506
TRANSYLVANIA,088,2024-11-05,11/05/2024 GENERAL,20929,23593,0.8870851523757046
TYRRELL,089,2024-11-05,11/05/2024 GENERAL,1750,1882,0.9298618490967057
UNION,090,2024-11-05,11/05/2024 GENERAL,140098,159531,0.8781866847195843
VANCE,091,2024-11-05,11/05/2024 GENERAL,20201,23226,0.8697580297941961
WAKE,092,2024-11-05,11/05/2024 GENERAL,653210,751828,0.8688290406848375
WARREN,093,2024-11-05,11/05/2024 GENERAL,10105,11554,0.874588886965553
WASHINGTON,094,2024-11-05,11/05/2024 GENERAL,5957,6772,0.8796515062020083
WATAUGA,095,2024-11-05,11/05/2024 GENERAL,33279,38203,0.8711095987226134
WAYNE,096,2024-11-05,11/05/2024 GENERAL,54917,64233,0.854965516167702
WILKES,097,2024-11-05,11/05/2024 GENERAL,36566,40720,0.8979862475442043
WILSON,098,2024-11-05,11/05/2024 GENERAL,40188,45755,0.8783302371325539
YADKIN,099,2024-11-05,11/05/2024 GENERAL,20581,23000,0.8948260869565218
YANCEY,100,2024-11-05,11/05/2024 GENERAL,11414,12688,0.8995901639344263
