election_date,county_desc,party_cd,race_code,ethnic_code,sex_code,age_group,registered_count,voted_count,turnout_rate
2025-11-04,UNION,UNA,M,UN,M,Age 41 - 65,17,1,0.058823529411764705
2025-11-04,FORSYTH,DEM,W,UN,U,Age Over 66,59,1,0.01694915254237288
2025-11-04,WILSON,UNA,W,UN,F,Age Over 66,217,18,0.08294930875576037
2025-11-04,ORANGE,DEM,A,NL,F,Age 18 - 25,310,22,0.07096774193548387
2025-11-04,DURHAM,DEM,U,NL,U,Age Over 66,17,7,0.4117647058823529
2025-11-04,SAMPSON,UNA,B,UN,F,Age Over 66,18,1,0.05555555555555555
2025-11-04,FRANKLIN,UNA,W,UN,F,Age Over 66,395,12,0.030379746835443037
2025-11-04,HALIFAX,REP,W,UN,F,Age Over 66,138,6,0.043478260869565216
2025-11-04,GASTON,UNA,O,UN,M,Age 26 - 40,53,4,0.07547169811320754
2025-11-04,HARNETT,REP,U,UN,U,Age Over 66,302,1,0.0033112582781456954
2025-11-04,HALIFAX,DEM,B,UN,F,Age 41 - 65,620,48,0.07741935483870968
2025-11-04,ASHE,DEM,W,UN,F,Age 26 - 40,38,1,0.02631578947368421
2025-11-04,PITT,REP,I,NL,M,Age 41 - 65,7,1,0.14285714285714285
2025-11-04,CLEVELAND,UNA,W,UN,F,Age Over 66,272,14,0.051470588235294115
2025-11-04,JOHNSTON,LIB,W,UN,M,Age 26 - 40,70,2,0.02857142857142857
2025-11-04,COLUMBUS,UNA,U,NL,M,Age Over 66,4,1,0.25
2025-11-04,NEW HANOVER,DEM,U,UN,M,Age 18 - 25,23,3,0.13043478260869565
2025-11-04,WAKE,DEM,M,HL,F,Age Over 66,23,3,0.13043478260869565
2025-11-04,GUILFORD,UNA,B,HL,F,Age 18 - 25,79,7,0.08860759493670886
2025-11-04,NASH,REP,A,NL,F,Age 41 - 65,12,1,0.08333333333333333
2025-11-04,BEAUFORT,REP,O,UN,M,Age 41 - 65,7,1,0.14285714285714285
2025-11-04,TRANSYLVANIA,UNA,W,UN,F,Age 41 - 65,662,78,0.11782477341389729
2025-11-04,CUMBERLAND,REP,M,NL,M,Age 41 - 65,15,1,0.06666666666666667
2025-11-04,CABARRUS,LIB,W,UN,F,Age 18 - 25,28,3,0.10714285714285714
2025-11-04,ALLEGHANY,DEM,W,UN,M,Age Over 66,41,3,0.07317073170731707
2025-11-04,GASTON,DEM,W,HL,M,Age 41 - 65,42,2,0.047619047619047616
2025-11-04,HARNETT,DEM,W,UN,F,Age 18 - 25,114,1,0.008771929824561403
2025-11-04,PENDER,REP,U,NL,U,Age 41 - 65,12,1,0.08333333333333333
2025-11-04,CUMBERLAND,UNA,A,UN,M,Age Over 66,27,2,0.07407407407407407
2025-11-04,CLEVELAND,UNA,W,UN,U,Age 18 - 25,6,1,0.16666666666666666
2025-11-04,SCOTLAND,DEM,B,NL,F,Age 18 - 25,153,3,0.0196078431372549
2025-11-04,DUPLIN,DEM,B,UN,M,Age 26 - 40,164,2,0.012195121951219513
2025-11-04,EDGECOMBE,DEM,B,NL,M,Age Over 66,1489,193,0.12961719274680994
2025-11-04,NASH,DEM,O,HL,F,Age 18 - 25,82,1,0.012195121951219513
2025-11-04,GASTON,UNA,A,NL,U,Age 26 - 40,4,2,0.5
2025-11-04,GUILFORD,UNA,I,NL,F,Age Over 66,23,1,0.043478260869565216
2025-11-04,DURHAM,UNA,I,HL,M,Age 26 - 40,5,1,0.2
2025-11-04,MOORE,UNA,W,NL,M,Age Over 66,3071,709,0.23086942364050797
2025-11-04,MOORE,REP,W,HL,M,Age 41 - 65,27,3,0.1111111111111111
2025-11-04,NEW HANOVER,UNA,B,HL,F,Age 41 - 65,14,1,0.07142857142857142
2025-11-04,CHATHAM,REP,B,UN,M,Age 41 - 65,17,2,0.11764705882352941
2025-11-04,FRANKLIN,UNA,B,NL,M,Age 41 - 65,297,13,0.04377104377104377
2025-11-04,DAVIE,REP,W,UN,M,Age 26 - 40,394,3,0.007614213197969543
2025-11-04,MCDOWELL,DEM,U,UN,U,Age Over 66,24,1,0.041666666666666664
